lat,lon,year_of_crime
34.0421,-118.2469,2015
34.055,-118.2477,2015
34.0446,-118.245,2015
34.0449,-118.2458,2015
34.0478,-118.2484,2015
34.0442,-118.2439,2015
34.0417,-118.2443,2015
34.0424,-118.2493,2015
34.0435,-118.2471,2015
34.0504,-118.2409,2015
34.043,-118.242,2015
34.0446,-118.245,2015
34.0471,-118.2474,2015
34.0674,-118.2468,2015
34.0349,-118.263,2015
34.0428,-118.2461,2015
34.0488,-118.25,2015
34.0461,-118.2476,2015
34.0453,-118.2443,2015
34.0403,-118.2421,2015
34.0495,-118.2494,2015
34.0495,-118.2494,2015
34.0495,-118.2494,2015
34.0407,-118.2468,2015
34.0354,-118.2714,2015
34.0407,-118.2468,2015
34.0466,-118.259,2015
34.0534,-118.2409,2015
34.0504,-118.2409,2015
34.0446,-118.249,2015
34.0541,-118.2417,2015
34.0549,-118.2426,2015
34.0363,-118.2573,2015
34.0354,-118.2714,2015
34.053,-118.2513,2015
34.046,-118.2493,2015
34.043,-118.242,2015
34.0335,-118.2619,2015
34.0454,-118.2333,2015
34.0449,-118.2528,2015
34.043,-118.242,2015
34.0547,-118.2505,2015
34.0495,-118.2563,2015
34.0502,-118.254,2015
34.0632,-118.2349,2015
34.0403,-118.2421,2015
34.0347,-118.2345,2015
34.046,-118.2493,2015
34.0446,-118.245,2015
34.048,-118.2577,2015
34.0481,-118.2542,2015
34.0357,-118.2593,2015
34.0468,-118.2415,2015
34.0412,-118.2436,2015
34.0449,-118.2458,2015
34.0416,-118.2584,2015
34.0416,-118.2584,2015
34.0449,-118.2458,2015
34.0495,-118.2529,2015
34.0383,-118.2327,2015
34.0412,-118.2474,2015
34.0409,-118.2574,2015
34.0478,-118.2484,2015
34.0516,-118.2561,2015
34.0317,-118.2641,2015
34.0481,-118.2542,2015
34.0335,-118.2619,2015
34.0656,-118.232,2015
34.0401,-118.2668,2015
34.0481,-118.2507,2015
34.0407,-118.2468,2015
34.0421,-118.2469,2015
34.0461,-118.2476,2015
34.0442,-118.2439,2015
34.0478,-118.2502,2015
34.0626,-118.2433,2015
34.0421,-118.2469,2015
34.0713,-118.2291,2015
34.0421,-118.2469,2015
34.0417,-118.2443,2015
34.0446,-118.245,2015
34.0473,-118.2566,2015
34.0495,-118.2458,2015
34.0421,-118.2469,2015
34.0455,-118.2381,2015
34.0446,-118.245,2015
34.0552,-118.2322,2015
34.0449,-118.2458,2015
34.042,-118.2625,2015
34.0462,-118.2585,2015
34.0438,-118.2547,2015
34.0467,-118.252,2015
34.0452,-118.2534,2015
34.0446,-118.245,2015
34.0678,-118.2283,2015
34.0437,-118.2455,2015
34.0534,-118.2409,2015
34.0363,-118.2573,2015
34.0452,-118.2534,2015
34.0416,-118.255,2015
34.0467,-118.252,2015
34.0446,-118.245,2015
34.0421,-118.2469,2015
34.0666,-118.245,2015
34.0534,-118.2409,2015
